,Median_hh_income,Total_population,Total_white_population,Percent_white_population,Percent_black_population,Average_hh_size,Percent_hh_built_1950s,Percent_hh_built_1960s,Percent_commute_drive,Percent_commute_walk,Percent_commute_pubtransit,Percent_home_owner_units,Percent_family_hhs,Percent_ed_bachelor_higher,NAME,state,county,tract,suburb_house_decades,Suburbanism_Flag,Housing_Age_Flag,Suburbanism_Extra_Flag,Combined_Flag,GEOID
1,64311.0,6726.0,3454.0,51.4,11.5,2.77,27.1,27.9,49.6,12.7,14.2,1205.0,64.3,39.1,"Census Tract 134, Westchester County, New York",36,119,013400,55.0,0,1,0,0,36119013400
2,84063.0,3889.0,2534.0,65.2,5.6,3.25,21.0,6.2,66.6,3.1,9.2,804.0,85.6,42.7,"Census Tract 135, Westchester County, New York",36,119,013500,27.2,1,1,0,1,36119013500
3,63418.0,3248.0,2332.0,71.8,8.7,1.88,27.2,27.7,73.2,1.9,12.0,490.0,41.5,49.4,"Census Tract 146.05, Westchester County, New York",36,119,014605,54.9,0,1,0,0,36119014605
4,-666666666.0,21.0,21.0,100.0,0.0,-666666666.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 1.04, Westchester County, New York",36,119,000104,0.0,0,0,0,0,36119000104
5,168500.0,2920.0,2210.0,75.7,12.5,3.04,64.0,11.1,64.8,0.0,27.5,877.0,85.0,73.4,"Census Tract 111.02, Westchester County, New York",36,119,011102,75.1,1,1,0,1,36119011102
6,93722.0,5591.0,3939.0,70.5,3.9,2.46,11.3,9.2,56.1,6.3,22.8,1174.0,58.3,45.7,"Census Tract 115, Westchester County, New York",36,119,011500,20.5,0,0,0,0,36119011500
7,100139.0,4884.0,4163.0,85.2,3.8,2.91,38.9,14.2,77.9,1.5,12.4,1371.0,80.0,45.2,"Census Tract 120, Westchester County, New York",36,119,012000,53.099999999999994,1,1,1,1,36119012000
8,134453.0,3111.0,2810.0,90.3,1.5,2.82,5.6,11.6,65.7,1.1,13.8,918.0,78.5,68.7,"Census Tract 125.01, Westchester County, New York",36,119,012501,17.2,1,0,1,0,36119012501
9,150227.0,4669.0,4297.0,92.0,2.7,3.02,20.4,14.9,51.6,5.5,23.6,1256.0,85.3,78.0,"Census Tract 126, Westchester County, New York",36,119,012600,35.3,0,1,0,0,36119012600
10,138485.0,3374.0,3005.0,89.1,4.6,2.78,24.6,18.8,57.2,6.0,27.3,941.0,76.2,71.0,"Census Tract 138, Westchester County, New York",36,119,013800,43.400000000000006,0,1,0,0,36119013800
11,83696.0,4445.0,3953.0,88.9,2.4,2.72,29.0,11.1,66.5,1.3,18.3,1117.0,73.7,34.1,"Census Tract 146.04, Westchester County, New York",36,119,014604,40.1,1,1,1,1,36119014604
12,147083.0,2986.0,2696.0,90.3,1.2,3.19,11.1,19.0,80.7,2.1,6.5,861.0,93.4,52.9,"Census Tract 149.08, Westchester County, New York",36,119,014908,30.1,1,1,1,1,36119014908
13,183250.0,5611.0,4938.0,88.0,4.0,3.06,59.9,12.0,60.1,0.9,24.5,1733.0,85.2,78.3,"Census Tract 68.01, Westchester County, New York",36,119,006801,71.9,1,1,1,1,36119006801
14,166797.0,6395.0,5715.0,89.4,1.6,3.03,23.5,16.2,40.7,10.9,33.3,1752.0,84.1,70.3,"Census Tract 69, Westchester County, New York",36,119,006900,39.7,0,1,0,0,36119006900
15,158299.0,5924.0,5431.0,91.7,2.7,2.69,10.1,5.9,40.7,3.1,38.7,1832.0,69.9,80.5,"Census Tract 70, Westchester County, New York",36,119,007000,16.0,0,0,0,0,36119007000
16,72096.0,4940.0,3882.0,78.6,9.3,2.76,15.6,15.1,69.1,1.0,20.0,963.0,67.4,47.9,"Census Tract 74.01, Westchester County, New York",36,119,007401,30.7,1,1,1,1,36119007401
17,52070.0,4424.0,2770.0,62.6,9.8,3.61,12.4,17.7,40.0,12.7,14.0,265.0,81.4,15.3,"Census Tract 78, Westchester County, New York",36,119,007800,30.1,0,1,0,0,36119007800
18,166064.0,6562.0,5851.0,89.2,1.0,2.72,27.3,18.7,50.8,0.6,34.1,1983.0,76.9,78.9,"Census Tract 83.02, Westchester County, New York",36,119,008302,46.0,0,1,0,0,36119008302
19,98750.0,3810.0,2954.0,77.5,2.4,2.68,25.1,9.5,62.0,4.5,19.3,790.0,72.9,41.1,"Census Tract 84.03, Westchester County, New York",36,119,008403,34.6,0,1,0,0,36119008403
20,159653.0,4304.0,3659.0,85.0,5.4,2.86,22.3,8.4,62.9,4.7,18.9,1349.0,76.8,68.7,"Census Tract 96, Westchester County, New York",36,119,009600,30.700000000000003,0,1,0,0,36119009600
21,141250.0,3052.0,2395.0,78.5,6.4,2.51,40.3,12.9,59.0,1.1,21.8,1008.0,77.8,68.5,"Census Tract 108.01, Westchester County, New York",36,119,010801,53.199999999999996,0,1,0,0,36119010801
22,104393.0,4525.0,4332.0,95.7,0.4,2.85,2.1,8.6,71.0,0.0,12.2,1272.0,79.6,37.4,"Census Tract 170.09, Richmond County, New York",36,085,017009,10.7,1,0,1,0,36085017009
23,31250.0,5372.0,3257.0,60.6,28.8,2.98,8.8,7.2,38.5,5.0,36.6,815.0,69.6,12.4,"Census Tract 207, Richmond County, New York",36,085,020700,16.0,0,0,0,0,36085020700
24,112473.0,6927.0,6506.0,93.9,0.1,2.95,0.4,2.4,64.2,2.6,25.9,2060.0,82.0,38.3,"Census Tract 208.03, Richmond County, New York",36,085,020803,2.8,1,0,1,0,36085020803
25,62054.0,2684.0,1179.0,43.9,46.3,3.1,6.7,6.5,52.4,3.4,39.8,618.0,86.6,28.9,"Census Tract 223, Richmond County, New York",36,085,022300,13.2,0,0,0,0,36085022300
26,56875.0,2755.0,1489.0,54.0,29.1,2.71,8.8,14.1,50.1,3.9,34.5,530.0,67.3,23.4,"Census Tract 247, Richmond County, New York",36,085,024700,22.9,0,1,0,0,36085024700
27,100152.0,6220.0,5613.0,90.2,1.0,2.92,20.2,22.2,64.5,0.5,26.5,1724.0,75.9,31.8,"Census Tract 251, Richmond County, New York",36,085,025100,42.4,1,1,1,1,36085025100
28,89894.0,7715.0,6180.0,80.1,12.6,3.22,5.3,11.3,55.9,2.5,29.5,1922.0,81.8,28.5,"Census Tract 291.04, Richmond County, New York",36,085,029104,16.6,0,0,0,0,36085029104
29,69290.0,3127.0,2609.0,83.4,7.7,2.41,15.2,12.1,52.9,12.8,27.9,793.0,51.7,47.5,"Census Tract 47, Richmond County, New York",36,085,004700,27.299999999999997,0,1,0,0,36085004700
30,67361.0,4105.0,2664.0,64.9,11.8,2.82,9.3,9.2,55.9,1.6,26.9,1006.0,79.7,38.6,"Census Tract 50, Richmond County, New York",36,085,005000,18.5,0,0,0,0,36085005000
31,77413.0,4583.0,3322.0,72.5,2.6,2.92,12.7,8.6,37.0,4.2,42.2,845.0,74.8,32.4,"Census Tract 74, Richmond County, New York",36,085,007400,21.299999999999997,0,0,0,0,36085007400
32,66927.0,3984.0,3161.0,79.3,4.6,2.42,23.5,20.0,48.3,4.1,38.4,1052.0,64.8,31.5,"Census Tract 96.01, Richmond County, New York",36,085,009601,43.5,0,1,0,0,36085009601
33,83308.0,3367.0,2951.0,87.6,2.1,2.58,17.8,12.9,46.8,2.9,40.5,784.0,71.5,34.6,"Census Tract 96.02, Richmond County, New York",36,085,009602,30.700000000000003,0,1,0,0,36085009602
34,95556.0,3753.0,3419.0,91.1,0.2,2.68,21.3,8.8,55.9,2.1,32.1,1032.0,70.7,38.9,"Census Tract 122, Richmond County, New York",36,085,012200,30.1,0,1,0,0,36085012200
35,80500.0,5744.0,5068.0,88.2,4.2,2.91,7.9,23.6,66.0,2.9,25.3,1562.0,85.6,36.6,"Census Tract 132.03, Richmond County, New York",36,085,013203,31.5,1,1,1,1,36085013203
36,104760.0,6470.0,5977.0,92.4,0.1,2.66,23.3,23.5,61.8,0.6,28.7,2076.0,76.6,33.6,"Census Tract 156.01, Richmond County, New York",36,085,015601,46.8,1,1,1,1,36085015601
37,97228.0,1898.0,1594.0,84.0,0.8,2.86,12.6,9.2,50.5,6.9,28.5,448.0,81.0,33.8,"Census Tract 187.01, Richmond County, New York",36,085,018701,21.799999999999997,0,0,0,0,36085018701
38,103802.0,7877.0,4525.0,57.4,5.8,3.06,10.5,27.4,50.7,3.8,23.8,1613.0,78.3,29.3,"Census Tract 187.02, Richmond County, New York",36,085,018702,37.9,0,1,0,0,36085018702
39,58902.0,4931.0,3932.0,79.7,6.7,2.51,34.4,18.4,70.5,1.4,23.5,1448.0,68.0,25.2,"Census Tract 189.01, Richmond County, New York",36,085,018901,52.8,1,1,0,1,36085018901
40,61726.0,5119.0,3374.0,65.9,17.7,3.23,9.0,5.0,49.6,3.6,34.1,940.0,73.4,22.7,"Census Tract 213, Richmond County, New York",36,085,021300,14.0,0,0,0,0,36085021300
41,40147.0,6051.0,2513.0,41.5,57.8,2.52,19.1,14.6,21.0,7.0,61.1,408.0,60.4,31.8,"Census Tract 7, Richmond County, New York",36,085,000700,33.7,0,1,0,0,36085000700
42,72386.0,1927.0,1116.0,57.9,15.9,1.82,7.2,8.9,26.8,11.7,47.7,286.0,40.5,50.8,"Census Tract 3, Richmond County, New York",36,085,000300,16.1,0,0,0,0,36085000300
43,55250.0,1757.0,672.0,38.2,55.6,2.72,5.6,10.0,26.5,5.0,64.3,239.0,66.6,32.9,"Census Tract 9, Richmond County, New York",36,085,000900,15.6,0,0,0,0,36085000900
44,25938.0,2376.0,1228.0,51.7,41.4,3.31,9.5,12.2,30.3,0.0,51.0,97.0,73.5,14.7,"Census Tract 27, Richmond County, New York",36,085,002700,21.7,0,0,0,0,36085002700
45,66741.0,5681.0,5608.0,98.7,0.5,2.69,29.2,33.3,76.2,0.6,8.5,1569.0,66.6,35.8,"Census Tract 1117.01, Suffolk County, New York",36,103,111701,62.5,0,1,0,0,36103111701
46,157240.0,2933.0,2737.0,93.3,2.7,3.44,26.6,52.9,77.0,1.7,8.4,809.0,87.0,55.0,"Census Tract 1118.03, Suffolk County, New York",36,103,111803,79.5,1,1,1,1,36103111803
47,106625.0,5245.0,4292.0,81.8,2.3,3.03,44.6,24.8,74.9,0.8,8.9,1496.0,79.3,40.4,"Census Tract 1120.01, Suffolk County, New York",36,103,112001,69.4,1,1,1,1,36103112001
48,158625.0,4596.0,3947.0,85.9,2.9,3.32,7.9,57.4,72.8,0.4,10.8,1332.0,89.0,55.9,"Census Tract 1122.11, Suffolk County, New York",36,103,112211,65.3,1,1,1,1,36103112211
49,155324.0,5512.0,3864.0,70.1,7.8,3.49,5.9,40.3,79.1,0.5,11.7,1528.0,95.4,58.5,"Census Tract 1122.13, Suffolk County, New York",36,103,112213,46.199999999999996,1,1,0,1,36103112213
50,74697.0,4134.0,3736.0,90.4,8.8,2.74,8.7,12.9,79.7,0.2,5.8,1151.0,72.1,31.6,"Census Tract 1592.04, Suffolk County, New York",36,103,159204,21.6,1,0,1,0,36103159204
51,85089.0,4931.0,4489.0,91.0,7.2,3.06,8.1,4.1,87.0,2.9,1.2,965.0,73.6,23.3,"Census Tract 1594.06, Suffolk County, New York",36,103,159406,12.2,1,0,0,0,36103159406
52,88207.0,8688.0,7812.0,89.9,9.2,3.44,11.1,12.0,90.7,0.0,2.2,2167.0,76.6,21.5,"Census Tract 1595.05, Suffolk County, New York",36,103,159505,23.1,1,1,0,1,36103159505
53,72500.0,4225.0,3968.0,93.9,4.4,2.34,13.8,18.6,81.5,0.0,7.6,1020.0,58.9,35.7,"Census Tract 1479.01, Suffolk County, New York",36,103,147901,32.400000000000006,0,1,0,0,36103147901
