,Median_hh_income,Total_population,Total_white_population,Percent_white_population,Percent_black_population,Average_hh_size,Percent_hh_built_1950s,Percent_hh_built_1960s,Percent_commute_drive,Percent_commute_walk,Percent_commute_pubtransit,Percent_home_owner_units,Percent_family_hhs,Percent_ed_bachelor_higher,NAME,state,county,tract,suburb_house_decades,Class,Suburbanism_Flag,Housing_Age_Flag,Suburbanism_Extra_Flag,Combined_Flag,GEOID
1,52061.0,2657.0,2426.0,91.3,5.8,1.83,5.5,3.5,92.3,1.4,0.7,297.0,43.3,45.8,"Census Tract 5201.06, Summit County, Ohio",39,153,520106,9.0,0,0,0,0,0,39153520106
2,61696.0,2171.0,2000.0,92.1,8.4,2.5,19.7,12.7,90.4,0.0,0.0,790.0,72.6,19.1,"Census Tract 8109, Mahoning County, Ohio",39,099,810900,32.4,0,0,1,0,0,39099810900
3,27686.0,4461.0,4256.0,95.4,5.1,2.35,3.9,3.8,77.5,9.3,0.3,769.0,52.0,8.1,"Census Tract 9728, Athens County, Ohio",39,009,972800,7.699999999999999,0,0,0,0,0,39009972800
4,15720.0,4504.0,4200.0,93.3,5.4,2.47,4.3,6.7,35.5,54.3,2.3,53.0,13.1,37.6,"Census Tract 9731.01, Athens County, Ohio",39,009,973101,11.0,0,0,0,0,0,39009973101
5,45795.0,4026.0,3859.0,95.9,3.8,2.53,3.7,8.8,86.0,0.4,0.0,1365.0,64.1,23.4,"Census Tract 9737, Athens County, Ohio",39,009,973700,12.5,0,0,0,0,0,39009973700
6,46706.0,4932.0,4867.0,98.7,0.5,2.53,2.7,8.5,77.7,0.1,0.0,1453.0,77.5,21.4,"Census Tract 9738, Athens County, Ohio",39,009,973800,11.2,0,0,0,0,0,39009973800
7,35350.0,4055.0,3983.0,98.2,1.6,2.76,4.9,10.2,92.6,2.5,0.1,960.0,64.6,9.6,"Census Tract 9727, Athens County, Ohio",39,009,972700,15.1,0,0,0,0,0,39009972700
8,48236.0,3939.0,3920.0,99.5,0.5,2.42,6.7,3.2,86.3,0.2,0.0,1267.0,66.1,13.0,"Census Tract 9736, Athens County, Ohio",39,009,973600,9.9,0,1,0,0,0,39009973600
9,34797.0,4357.0,4282.0,98.3,1.2,2.78,4.6,5.3,86.3,3.3,0.8,1054.0,69.9,9.1,"Census Tract 9726, Athens County, Ohio",39,009,972600,9.899999999999999,0,0,0,0,0,39009972600
10,58860.0,3640.0,2962.0,81.4,5.9,2.27,2.7,22.2,78.8,7.4,0.0,921.0,58.2,63.2,"Census Tract 9733, Athens County, Ohio",39,009,973300,24.9,0,0,1,0,0,39009973300
11,41973.0,5672.0,5240.0,92.4,2.0,2.26,5.6,9.8,77.9,1.6,0.0,1079.0,55.8,37.2,"Census Tract 9729, Athens County, Ohio",39,009,972900,15.4,0,0,0,0,0,39009972900
12,39972.0,5168.0,4683.0,90.6,3.4,2.61,4.0,14.4,86.1,0.6,2.4,974.0,45.2,45.5,"Census Tract 9732, Athens County, Ohio",39,009,973200,18.4,0,0,0,0,0,39009973200
13,67267.0,3749.0,3425.0,91.4,5.6,2.14,21.9,48.3,86.4,0.0,4.1,1154.0,57.1,69.4,"Census Tract 78.11, Franklin County, Ohio",39,049,007811,70.19999999999999,0,0,1,0,0,39049007811
14,25375.0,4072.0,1411.0,34.7,56.2,2.51,21.6,24.6,64.6,0.7,9.2,551.0,51.9,10.2,"Census Tract 26, Franklin County, Ohio",39,049,002600,46.2,0,0,1,0,0,39049002600
15,36442.0,1955.0,572.0,29.3,72.2,2.11,8.4,11.8,70.4,1.6,12.3,412.0,47.3,25.9,"Census Tract 28, Franklin County, Ohio",39,049,002800,20.200000000000003,0,0,0,0,0,39049002800
16,25799.0,5214.0,3515.0,67.4,25.6,2.81,19.5,10.5,86.4,0.9,4.6,657.0,53.6,4.0,"Census Tract 49, Franklin County, Ohio",39,049,004900,30.0,0,0,1,0,0,39049004900
17,25587.0,4658.0,767.0,16.5,84.0,2.66,22.2,11.4,71.1,0.8,8.3,787.0,52.4,14.5,"Census Tract 55, Franklin County, Ohio",39,049,005500,33.6,0,0,1,0,0,39049005500
18,25612.0,6019.0,1294.0,21.5,65.6,2.53,9.1,13.6,75.6,3.0,11.5,320.0,52.7,11.5,"Census Tract 69.33, Franklin County, Ohio",39,049,006933,22.7,0,0,0,0,0,39049006933
19,38793.0,5816.0,2479.0,42.6,56.6,2.32,2.5,15.5,76.0,2.7,3.3,242.0,54.3,19.4,"Census Tract 69.45, Franklin County, Ohio",39,049,006945,18.0,0,0,0,0,0,39049006945
20,52054.0,5384.0,2676.0,49.7,45.6,2.94,3.1,10.1,78.4,0.2,4.6,1125.0,67.3,23.7,"Census Tract 71.13, Franklin County, Ohio",39,049,007113,13.2,0,0,0,0,0,39049007113
21,40446.0,5818.0,2625.0,45.1,45.9,2.3,4.3,6.2,77.1,3.3,0.0,684.0,55.2,32.0,"Census Tract 71.15, Franklin County, Ohio",39,049,007115,10.5,0,0,0,0,0,39049007115
22,55189.0,5116.0,3445.0,67.3,32.6,2.36,0.6,5.8,79.1,6.6,2.9,1068.0,52.6,34.0,"Census Tract 71.14, Franklin County, Ohio",39,049,007114,6.3999999999999995,0,0,0,0,0,39049007114
